ticket_id,customer_id,order_id,timestamp,support_channel,customer_region,customer_age_band,preferred_language,customer_tenure_months,product_category,order_value,delivery_delay_days,previous_ticket_count,issue_title,issue_description,issue_category,priority,customer_sentiment,attachment_available,image_id,escalated,resolution_time_hours,refund_requested,refund_amount,csat_score,accessibility_support_flag,resolution_status_after_7d,final_agent_disposition
TKT000000031,CUST0115654,ORD00001031,2025-12-24T22:00,web_chat,West Midlands,18-24,English,19,sports,112.53,1,1,Damage on arrival,"Hi, there is visible damage. The order value is about GBP 112.53. Please advise. sent from mobile",damaged_item,high,neutral,1,IMG_DAMAGED_0031,0,9.56,0,0.0,4.8,0,resolved_within_7d,resolved_standard
TKT000000032,CUST0077373,ORD00001032,2025-05-18T23:28,web_chat,London,35-44,Polish,19,appliances,168.42,2,1,Damage on arrival,"Support team, the item arrived cracked. The order value is about GBP 168.42. Thank you. thx",damaged_item,low,neutral,1,IMG_DAMAGED_0032,0,26.28,1,100.31,2.8,0,resolved_within_7d,refund_or_return_completed
TKT000000033,CUST0053097,ORD00001033,2025-04-09T14:34,mobile_app,Yorkshire,55-64,English,14,electronics,462.01,0,1,Damage on arrival,Please help - the product is damaged. The order value is about GBP 462.01. I need this resolved soon. ASAP,damaged_item,low,positive,1,IMG_DAMAGED_0033,1,30.52,0,0.0,2.9,0,resolved_within_7d,specialist_escalation
TKT000000034,CUST0093551,ORD00001034,2025-03-19T22:11,mobile_app,West Midlands,65+,English,11,grocery,108.02,3,0,Item arrived damaged,Can someone check this? the product is damaged. The order value is about GBP 108.02. I need this resolved soon. #help,damaged_item,medium,neutral,1,IMG_DAMAGED_0034,0,21.15,0,0.0,3.5,0,resolved_within_7d,resolved_standard
TKT000000035,CUST0111591,ORD00001035,2025-05-25T04:54,phone,South East,45-54,English,48,home,113.41,1,4,Item arrived damaged,Can someone check this? there is visible damage. The order value is about GBP 113.41. Thanks.,damaged_item,medium,neutral,1,IMG_DAMAGED_0035,0,28.21,0,0.0,3.5,0,resolved_within_7d,resolved_standard
TKT000000036,CUST0166958,ORD00001036,2025-01-28T05:56,email,East Midlands,55-64,English,20,electronics,127.68,12,1,Item arrived damaged,Please help - there is visible damage. The order value is about GBP 127.68. Thanks.,damaged_item,low,negative,1,IMG_DAMAGED_0036,1,49.23,1,91.76,1.5,0,resolved_within_7d,specialist_escalation
TKT000000037,CUST0058168,ORD00001037,2025-05-06T09:23,email,Wales,55-64,English,12,beauty,48.01,7,1,Item arrived damaged,"Hi, the box was crushed and the item is broken. The order value is about GBP 48.01. Please advise. !!!",damaged_item,medium,negative,1,IMG_DAMAGED_0037,0,39.68,0,0.0,,0,resolved_within_7d,resolved_standard
TKT000000038,CUST0148107,ORD00001038,2025-06-07T06:44,web_chat,Wales,55-64,English,82,grocery,70.79,2,1,Item arrived damaged,"support team, there is visible damage. the order value is about gbp 70.79. thanks. asap",damaged_item,medium,neutral,1,IMG_DAMAGED_0038,1,22.72,1,51.51,3.2,0,resolved_within_7d,specialist_escalation
TKT000000039,CUST0055103,ORD00001039,2025-12-24T01:10,mobile_app,,45-54,English,46,fashion,58.24,1,2,Damage on arrival,"Support team, the item arrived cracked. The order value is about GBP 58.24. Thank you. sent from mobile",damaged_item,medium,neutral,1,IMG_DAMAGED_0039,0,9.64,0,0.0,4.0,0,resolved_within_7d,resolved_standard
TKT000000040,CUST0012755,ORD00001040,2025-09-08T17:08,web_chat,East Midlands,25-34,English,24,fashion,179.79,2,2,Damage on arrival,I need assistance because the box was crushed and the item is broken. The order value is about GBP 179.79. Thank you. thx,damaged_item,low,negative,1,IMG_DAMAGED_0040,1,33.03,1,160.4,2.4,0,resolved_within_7d,specialist_escalation
TKT000000041,CUST0030046,ORD00001041,2025-03-30T07:10,email,East Midlands,18-24,English,24,sports,171.42,0,1,Product is broken,"Hello, the product is damaged. The order value is about GBP 171.42. I need this resolved soon. pls",damaged_item,medium,positive,1,IMG_DAMAGED_0041,0,17.84,1,120.16,3.8,0,resolved_within_7d,refund_or_return_completed
TKT000000042,CUST0007820,ORD00001042,2025-05-28T13:23,web_chat,West Midlands,25-34,English,28,appliances,290.76,2,2,Product is broken,"Hi, the box was crushed and the item is broken. The order value is about GBP 290.76. Thank you. thx",damaged_item,low,negative,1,IMG_DAMAGED_0042,0,28.02,0,0.0,3.5,0,resolved_within_7d,resolved_standard
TKT000000043,CUST0017313,ORD00001043,2025-02-15T17:49,email,West Midlands,55-64,English,16,fashion,122.08,2,1,Product is broken,Please help - the box was crushed and the item is broken. The order value is about GBP 122.08. Can you confirm the next step?,damaged_item,low,neutral,1,IMG_DAMAGED_0043,1,25.75,0,0.0,3.3,0,resolved_within_7d,specialist_escalation
TKT000000044,CUST0199086,ORD00001044,2025-02-11T23:28,web_chat,London,25-34,English,26,electronics,129.03,1,3,Damage on arrival,Can someone check this? there is visible damage. The order value is about GBP 129.03. Please get back to me. #help,damaged_item,medium,positive,1,IMG_DAMAGED_0044,0,23.91,0,0.0,4.0,0,resolved_within_7d,resolved_standard
TKT000000045,CUST0102991,ORD00001045,2025-04-12T10:08,email,Wales,55-64,English,41,fashion,85.97,1,2,Product is broken,Can someone check this? the box was crushed and the item is broken. The order value is about GBP 85.97. Please advise. pls,damaged_item,low,negative,1,IMG_DAMAGED_0045,0,21.1,0,0.0,3.4,0,resolved_within_7d,resolved_standard
TKT000000046,CUST0179647,ORD00001046,2025-12-11T04:21,email,South West,25-34,English,19,fashion,111.32,0,1,Damage on arrival,"Hi, the box was crushed and the item is broken. The order value is about GBP 111.32. Thanks. ASAP",damaged_item,medium,negative,1,IMG_DAMAGED_0046,0,6.82,0,0.0,3.9,0,resolved_within_7d,resolved_standard
TKT000000047,CUST0128865,ORD00001047,2025-04-20T04:38,phone,London,35-44,English,33,home,91.85,1,0,Item arrived damaged,"Hi, the item arrived cracked. The order value is about GBP 91.85. Please advise. sent from mobile",damaged_item,medium,positive,1,IMG_DAMAGED_0047,0,34.91,1,82.96,3.0,0,resolved_within_7d,refund_or_return_completed
TKT000000048,CUST0093827,ORD00001048,2025-05-14T22:53,web_chat,Wales,25-34,English,29,home,447.98,1,2,Item arrived damaged,Please help - the product is damaged. The order value is about GBP 447.98. Please get back to me. thx,damaged_item,low,negative,1,IMG_DAMAGED_0048,0,28.85,1,326.01,2.7,0,resolved_within_7d,refund_or_return_completed
TKT000000049,CUST0188327,ORD00001049,2025-03-06T12:28,web_chat,Scotland,25-34,English,154,home,41.64,0,0,Item arrived damaged,"Hi, the box was crushed and the item is broken. The order value is about GBP 41.64. Can you confirm the next step? ...",damaged_item,medium,negative,1,IMG_DAMAGED_0049,0,26.56,0,0.0,3.1,0,resolved_within_7d,resolved_standard
TKT000000050,CUST0011121,ORD00001050,2025-04-28T20:58,web_chat,North West,35-44,English,6,fashion,130.49,1,3,Damage on arrival,Can someone check this? there is visible damage. The order value is about GBP 130.49. Please advise. #help,damaged_item,medium,positive,1,IMG_DAMAGED_0050,0,9.3,0,0.0,4.0,0,resolved_within_7d,resolved_standard
TKT000000051,CUST0084664,ORD00001051,2025-03-22T21:15,web_chat,,65+,English,8,fashion,107.14,1,0,Damage on arrival,I need assistance because there is visible damage. The order value is about GBP 107.14. Thank you. !!!,damaged_item,medium,positive,1,IMG_DAMAGED_0051,0,7.68,0,0.0,4.5,0,resolved_within_7d,resolved_standard
TKT000000052,CUST0030590,ORD00001052,2025-05-13T22:57,email,Yorkshire,25-34,English,19,fashion,170.61,3,2,Damage on arrival,Please help - the product is damaged. The order value is about GBP 170.61. Please advise.,damaged_item,medium,neutral,1,IMG_DAMAGED_0052,0,18.7,0,0.0,4.2,0,resolved_within_7d,resolved_standard
TKT000000053,CUST0134838,ORD00001053,2025-11-04T23:37,web_chat,Wales,45-54,English,63,sports,185.14,0,2,Item arrived damaged,"Hi, there is visible damage. The order value is about GBP 185.14. I need this resolved soon. sent from mobile",damaged_item,low,negative,1,IMG_DAMAGED_0053,0,22.94,1,170.59,3.6,0,resolved_within_7d,refund_or_return_completed
TKT000000054,CUST0184798,ORD00001054,2025-05-26T13:01,web_chat,London,65+,English,16,beauty,90.05,7,1,Damage on arrival,please help - the box was crushed and the item is broken. the order value is about gbp 90.05. thank you. pls,damaged_item,medium,negative,1,IMG_DAMAGED_0054,1,30.83,0,0.0,2.9,0,resolved_within_7d,specialist_escalation
TKT000000055,CUST0150895,ORD00001055,2025-09-07T11:53,web_chat,North West,55-64,Punjabi,42,electronics,645.99,2,1,Item arrived damaged,"HI, THE ITEM ARRIVED CRACKED. THE ORDER VALUE IS ABOUT GBP 645.99. PLEASE ADVISE. PLS",damaged_item,urgent,neutral,1,IMG_DAMAGED_0055,1,27.22,1,409.97,2.9,0,resolved_within_7d,specialist_escalation
TKT000000056,CUST0119597,ORD00001056,2025-09-18T02:18,mobile_app,South West,25-34,Romanian,47,home,28.17,10,1,Item arrived damaged,"Support team, the item arrived cracked. The order value is about GBP 28.17. Thank you. pls",damaged_item,medium,positive,1,IMG_DAMAGED_0056,0,24.89,0,0.0,4.1,0,resolved_within_7d,resolved_standard
TKT000000057,CUST0197126,ORD00001057,2025-01-02T14:40,web_chat,South East,35-44,English,34,appliances,269.83,2,1,Product is broken,I need assistance because the box was crushed and the item is broken. The order value is about GBP 269.83. Please advise. pls,damaged_item,medium,negative,1,IMG_DAMAGED_0057,0,20.22,0,0.0,3.2,0,resolved_within_7d,resolved_standard
TKT000000058,CUST0114486,ORD00001058,2025-08-14T02:17,email,Yorkshire,45-54,English,10,appliances,109.34,1,1,Item arrived damaged,"Support team, there is visible damage. The order value is about GBP 109.34. Please advise. thx",damaged_item,low,negative,1,IMG_DAMAGED_0058,0,20.17,1,78.76,4.2,0,resolved_within_7d,refund_or_return_completed
TKT000000059,CUST0121786,ORD00001059,2025-03-05T02:57,email,North West,55-64,English,25,beauty,90.82,6,2,Product is broken,Can someone check this? the box was crushed and the item is broken. The order value is about GBP 90.82. I need this resolved soon. ...,damaged_item,medium,negative,1,IMG_DAMAGED_0059,1,27.64,1,54.68,2.2,0,resolved_within_7d,specialist_escalation
TKT000000060,CUST0170809,ORD00001060,2025-07-25T09:12,web_chat,North West,25-34,English,31,appliances,293.63,2,2,Damage on arrival,"Support team, the product is damaged. The order value is about GBP 293.63. Please advise.",damaged_item,medium,neutral,1,IMG_DAMAGED_0060,0,25.95,0,0.0,3.5,0,resolved_within_7d,resolved_standard
TKT000000061,CUST0129957,ORD00001061,2025-12-15T22:26,mobile_app,South East,45-54,Punjabi,3,electronics,106.12,2,2,Damage on arrival,I need assistance because the box was crushed and the item is broken. The order value is about GBP 106.12. Please advise. ...,damaged_item,low,neutral,1,IMG_DAMAGED_0061,0,31.23,0,0.0,3.0,0,resolved_within_7d,resolved_standard
TKT000000062,CUST0170839,ORD00001062,2025-08-06T15:36,phone,South East,55-64,English,22,electronics,96.81,0,2,Damage on arrival,"Support team, the item arrived cracked. The order value is about GBP 96.81. Thanks. #help",damaged_item,medium,positive,1,IMG_DAMAGED_0062,0,26.54,0,0.0,3.4,0,resolved_within_7d,resolved_standard
TKT000000063,CUST0178529,ORD00001063,2025-08-03T15:23,mobile_app,,35-44,English,38,home,92.71,10,2,Product is broken,"Hi, there is visible damage. The order value is about GBP 92.71. Thank you. thx",damaged_item,low,negative,1,IMG_DAMAGED_0063,0,40.6,0,0.0,2.4,0,resolved_within_7d,resolved_standard
TKT000000064,CUST0084338,ORD00001064,2025-10-22T16:13,web_chat,South East,25-34,English,47,electronics,87.9,167,1,Damage on arrival,"Hello, the box was crushed and the item is broken. The order value is about GBP 87.90. I need this resolved soon. ...",damaged_item,medium,positive,1,IMG_DAMAGED_0064,0,26.76,1,65.91,3.2,0,resolved_within_7d,refund_or_return_completed
TKT000000065,CUST0034353,ORD00001065,2025-05-20T14:27,mobile_app,West Midlands,18-24,English,40,sports,64.83,1,2,Item arrived damaged,"Hi, the box was crushed and the item is broken. The order value is about GBP 64.83. I need this resolved soon. ASAP",damaged_item,high,neutral,1,IMG_DAMAGED_0065,0,39.1,1,61.37,3.2,0,resolved_within_7d,refund_or_return_completed
TKT000000066,CUST0067472,ORD00001066,2025-07-01T22:16,mobile_app,East Midlands,55-64,English,11,appliances,277.86,0,2,Item arrived damaged,I need assistance because the box was crushed and the item is broken. The order value is about GBP 277.86. Please advise. !!!,damaged_item,high,neutral,1,IMG_DAMAGED_0066,0,29.97,1,247.41,3.3,0,resolved_within_7d,refund_or_return_completed
TKT000000067,CUST0055940,ORD00001067,2025-04-20T12:02,web_chat,Northern Ireland,35-44,English,28,toys,153.76,0,2,Product is broken,Please help - the product is damaged. The order value is about GBP 153.76. Thanks. ...,damaged_item,high,positive,1,IMG_DAMAGED_0067,0,25.49,0,0.0,3.6,0,resolved_within_7d,resolved_standard
TKT000000068,CUST0077664,ORD00001068,2025-04-03T10:56,mobile_app,South West,25-34,English,95,beauty,148.87,0,2,Item arrived damaged,Can someone check this? the product is damaged. The order value is about GBP 148.87. Thanks. !!!,damaged_item,medium,positive,1,IMG_DAMAGED_0068,0,20.81,0,0.0,3.8,0,resolved_within_7d,resolved_standard
TKT000000069,CUST0007510,ORD00001069,2025-02-13T00:51,mobile_app,North West,45-54,English,61,fashion,30.4,1,3,Item arrived damaged,"Hi, there is visible damage. The order value is about GBP 30.40. Can you confirm the next step?",damaged_item,low,neutral,1,IMG_DAMAGED_0069,0,19.16,1,27.04,4.2,0,resolved_within_7d,refund_or_return_completed
TKT000000070,CUST0174798,ORD00001070,2025-05-16T18:26,email,South East,55-64,English,62,electronics,140.31,3,2,Item arrived damaged,Can someone check this? the product is damaged. The order value is about GBP 140.31. Please get back to me. pls,damaged_item,medium,negative,1,IMG_DAMAGED_0070,0,12.05,0,0.0,3.3,0,resolved_within_7d,resolved_standard
TKT000000071,CUST0116909,ORD00001071,2025-04-12T19:41,web_chat,South East,45-54,English,33,fashion,219.49,1,1,Product is broken,Can someone check this? the item arrived cracked. The order value is about GBP 219.49. Can you confirm the next step? ...,damaged_item,medium,negative,1,IMG_DAMAGED_0071,0,25.14,0,0.0,3.1,0,resolved_within_7d,resolved_standard
TKT000000072,CUST0126489,ORD00001072,2025-06-25T02:35,email,South East,45-54,English,21,fashion,70.57,1,2,Product is broken,Please help - the product is damaged. The order value is about GBP 70.57. Thanks. sent from mobile,damaged_item,medium,neutral,1,IMG_DAMAGED_0072,0,21.83,1,40.81,4.1,0,resolved_within_7d,refund_or_return_completed
TKT000000073,CUST0133726,ORD00001073,2025-01-19T11:37,mobile_app,London,65+,English,44,grocery,60.53,1,0,Product is broken,"Hello, the item arrived cracked. The order value is about GBP 60.53. Thank you. ...",damaged_item,medium,neutral,1,IMG_DAMAGED_0073,0,24.57,0,0.0,3.9,0,resolved_within_7d,resolved_standard
TKT000000074,CUST0191220,ORD00001074,2025-12-06T11:38,phone,London,45-54,English,19,electronics,648.88,1,2,Item arrived damaged,"Hello, the item arrived cracked. The order value is about GBP 648.88. Can you confirm the next step? pls",damaged_item,high,neutral,1,IMG_DAMAGED_0074,1,28.46,0,0.0,3.8,0,resolved_within_7d,specialist_escalation
TKT000000075,CUST0181408,ORD00001075,2025-09-12T22:05,mobile_app,North West,55-64,English,59,electronics,391.86,1,1,Product is broken,"Support team, the item arrived cracked. The order value is about GBP 391.86. Please advise. #help",damaged_item,high,negative,1,IMG_DAMAGED_0075,1,25.71,1,368.02,3.2,0,resolved_within_7d,specialist_escalation
TKT000000076,CUST0066354,ORD00001076,2025-10-14T21:05,web_chat,West Midlands,25-34,Polish,46,electronics,491.74,1,0,Item arrived damaged,"Hi, the item arrived cracked. The order value is about GBP 491.74. Thanks.",damaged_item,medium,negative,1,IMG_DAMAGED_0076,0,19.9,0,0.0,3.0,0,resolved_within_7d,resolved_standard
TKT000000077,CUST0199529,ORD00001077,2025-11-19T21:58,email,London,35-44,English,7,electronics,399.52,3,1,Product is broken,Please help - the box was crushed and the item is broken. The order value is about GBP 399.52. I need this resolved soon. !!!,damaged_item,medium,neutral,1,IMG_DAMAGED_0077,0,28.72,0,0.0,3.5,0,resolved_within_7d,resolved_standard
TKT000000078,CUST0094153,ORD00001078,2025-07-02T19:49,email,Wales,25-34,English,77,home,66.88,2,2,Item arrived damaged,Can someone check this? the item arrived cracked. The order value is about GBP 66.88. Thank you.,damaged_item,medium,positive,1,IMG_DAMAGED_0078,0,20.73,1,63.37,3.5,0,resolved_within_7d,refund_or_return_completed
TKT000000079,CUST0027174,ORD00001079,2025-10-14T20:40,email,West Midlands,25-34,English,44,fashion,85.47,1,0,Product is broken,I need assistance because there is visible damage. The order value is about GBP 85.47. Please advise. #help,damaged_item,medium,positive,1,IMG_DAMAGED_0079,0,22.69,0,0.0,3.5,0,resolved_within_7d,resolved_standard
TKT000000080,CUST0106554,ORD00001080,2025-07-18T08:28,mobile_app,London,45-54,English,18,sports,19.35,1,2,Product is broken,"Support team, the item arrived cracked. The order value is about GBP 19.35. Can you confirm the next step? !!!",damaged_item,medium,negative,1,IMG_DAMAGED_0080,1,15.18,0,0.0,3.0,0,resolved_within_7d,specialist_escalation
