ticket_id,issue_description,issue_category
TKT000000026,"Hello, the box was crushed and the item is broken. The order value is about GBP 56.46. Thank you. !!!",damaged_item
TKT000000027,Please help - there is visible damage. The order value is about GBP 537.68. Please get back to me.,damaged_item
TKT000000028,"Support team, the item arrived cracked. The order value is about GBP 110.88. Thanks. ...",damaged_item
TKT000000029,"Hi, the item arrived cracked. The order value is about GBP 121.67. Can you confirm the next step? ASAP",damaged_item
TKT000000030,"Support team, the item arrived cracked. The order value is about GBP 83.42. Please get back to me. #help",damaged_item
TKT000000031,"Hi, there is visible damage. The order value is about GBP 112.53. Please advise. sent from mobile",damaged_item
TKT000000032,"Support team, the item arrived cracked. The order value is about GBP 168.42. Thank you. thx",damaged_item
TKT000000033,Please help - the product is damaged. The order value is about GBP 462.01. I need this resolved soon. ASAP,damaged_item
TKT000000034,Can someone check this? the product is damaged. The order value is about GBP 108.02. I need this resolved soon. #help,damaged_item
TKT000000035,Can someone check this? there is visible damage. The order value is about GBP 113.41. Thanks.,damaged_item
TKT000000036,Please help - there is visible damage. The order value is about GBP 127.68. Thanks.,damaged_item
TKT000000037,"Hi, the box was crushed and the item is broken. The order value is about GBP 48.01. Please advise. !!!",damaged_item
TKT000000038,"support team, there is visible damage. the order value is about gbp 70.79. thanks. asap",damaged_item
TKT000000039,"Support team, the item arrived cracked. The order value is about GBP 58.24. Thank you. sent from mobile",damaged_item
TKT000000040,I need assistance because the box was crushed and the item is broken. The order value is about GBP 179.79. Thank you. thx,damaged_item
TKT000000041,"Hello, the product is damaged. The order value is about GBP 171.42. I need this resolved soon. pls",damaged_item
TKT000000042,"Hi, the box was crushed and the item is broken. The order value is about GBP 290.76. Thank you. thx",damaged_item
TKT000000043,Please help - the box was crushed and the item is broken. The order value is about GBP 122.08. Can you confirm the next step?,damaged_item
TKT000000044,Can someone check this? there is visible damage. The order value is about GBP 129.03. Please get back to me. #help,damaged_item
TKT000000045,Can someone check this? the box was crushed and the item is broken. The order value is about GBP 85.97. Please advise. pls,damaged_item
TKT000000046,"Hi, the box was crushed and the item is broken. The order value is about GBP 111.32. Thanks. ASAP",damaged_item
TKT000000047,"Hi, the item arrived cracked. The order value is about GBP 91.85. Please advise. sent from mobile",damaged_item
TKT000000048,Please help - the product is damaged. The order value is about GBP 447.98. Please get back to me. thx,damaged_item
TKT000000049,"Hi, the box was crushed and the item is broken. The order value is about GBP 41.64. Can you confirm the next step? ...",damaged_item
TKT000000050,Can someone check this? there is visible damage. The order value is about GBP 130.49. Please advise. #help,damaged_item
TKT000000051,I need assistance because there is visible damage. The order value is about GBP 107.14. Thank you. !!!,damaged_item
TKT000000052,Please help - the product is damaged. The order value is about GBP 170.61. Please advise.,damaged_item
TKT000000053,"Hi, there is visible damage. The order value is about GBP 185.14. I need this resolved soon. sent from mobile",damaged_item
TKT000000054,please help - the box was crushed and the item is broken. the order value is about gbp 90.05. thank you. pls,damaged_item
TKT000000055,"HI, THE ITEM ARRIVED CRACKED. THE ORDER VALUE IS ABOUT GBP 645.99. PLEASE ADVISE. PLS",damaged_item
TKT000000056,"Support team, the item arrived cracked. The order value is about GBP 28.17. Thank you. pls",damaged_item
TKT000000057,I need assistance because the box was crushed and the item is broken. The order value is about GBP 269.83. Please advise. pls,damaged_item
TKT000000058,"Support team, there is visible damage. The order value is about GBP 109.34. Please advise. thx",damaged_item
TKT000000059,Can someone check this? the box was crushed and the item is broken. The order value is about GBP 90.82. I need this resolved soon. ...,damaged_item
TKT000000060,"Support team, the product is damaged. The order value is about GBP 293.63. Please advise.",damaged_item
TKT000000061,I need assistance because the box was crushed and the item is broken. The order value is about GBP 106.12. Please advise. ...,damaged_item
TKT000000062,"Support team, the item arrived cracked. The order value is about GBP 96.81. Thanks. #help",damaged_item
TKT000000063,"Hi, there is visible damage. The order value is about GBP 92.71. Thank you. thx",damaged_item
TKT000000064,"Hello, the box was crushed and the item is broken. The order value is about GBP 87.90. I need this resolved soon. ...",damaged_item
TKT000000065,"Hi, the box was crushed and the item is broken. The order value is about GBP 64.83. I need this resolved soon. ASAP",damaged_item
TKT000000066,I need assistance because the box was crushed and the item is broken. The order value is about GBP 277.86. Please advise. !!!,damaged_item
TKT000000067,Please help - the product is damaged. The order value is about GBP 153.76. Thanks. ...,damaged_item
TKT000000068,Can someone check this? the product is damaged. The order value is about GBP 148.87. Thanks. !!!,damaged_item
TKT000000069,"Hi, there is visible damage. The order value is about GBP 30.40. Can you confirm the next step?",damaged_item
TKT000000070,Can someone check this? the product is damaged. The order value is about GBP 140.31. Please get back to me. pls,damaged_item
TKT000000071,Can someone check this? the item arrived cracked. The order value is about GBP 219.49. Can you confirm the next step? ...,damaged_item
TKT000000072,Please help - the product is damaged. The order value is about GBP 70.57. Thanks. sent from mobile,damaged_item
TKT000000073,"Hello, the item arrived cracked. The order value is about GBP 60.53. Thank you. ...",damaged_item
TKT000000074,"Hello, the item arrived cracked. The order value is about GBP 648.88. Can you confirm the next step? pls",damaged_item
TKT000000075,"Support team, the item arrived cracked. The order value is about GBP 391.86. Please advise. #help",damaged_item
TKT000000076,"Hi, the item arrived cracked. The order value is about GBP 491.74. Thanks.",damaged_item
TKT000000077,Please help - the box was crushed and the item is broken. The order value is about GBP 399.52. I need this resolved soon. !!!,damaged_item
TKT000000078,Can someone check this? the item arrived cracked. The order value is about GBP 66.88. Thank you.,damaged_item
TKT000000079,I need assistance because there is visible damage. The order value is about GBP 85.47. Please advise. #help,damaged_item
TKT000000080,"Support team, the item arrived cracked. The order value is about GBP 19.35. Can you confirm the next step? !!!",damaged_item
TKT000000081,I need assistance because the item arrived cracked. The order value is about GBP 88.78. Thanks. ...,damaged_item
TKT000000082,Please help - the product is damaged. The order value is about GBP 334.58. I need this resolved soon. thx,damaged_item
TKT000000083,Can someone check this? the box was crushed and the item is broken. The order value is about GBP 169.42. I need this resolved soon. !!!,damaged_item
TKT000000084,"Hi, the box was crushed and the item is broken. The order value is about GBP 69.53. Can you confirm the next step? pls",damaged_item
TKT000000085,"Hello, the product is damaged. The order value is about GBP 110.29. Please advise. #help",damaged_item
TKT000000086,Please help - the box was crushed and the item is broken. The order value is about GBP 218.79. Please advise. thx,damaged_item
TKT000000087,Please help - the product is damaged. The order value is about GBP 106.57. Please advise. pls,damaged_item
TKT000000088,"Hi, the product is damaged. The order value is about GBP 681.30. Thanks. pls",damaged_item
TKT000000089,"HI, THE PRODUCT IS DAMAGED. THE ORDER VALUE IS ABOUT GBP 117.07. CAN YOU CONFIRM THE NEXT STEP? ...",damaged_item
TKT000000090,I need assistance because the item arrived cracked. The order value is about GBP 40.00. Please get back to me. sent from mobile,damaged_item
TKT000000091,"Support team, there is visible damage. The order value is about GBP 209.04. Please get back to me. ASAP",damaged_item
TKT000000092,I need assistance because the item arrived cracked. The order value is about GBP 70.76. Please get back to me. pls,damaged_item
TKT000000093,Please help - the item arrived cracked. The order value is about GBP 75.61. Thank you. #help,damaged_item
TKT000000094,Please help - the item arrived cracked. The order value is about GBP 213.28. Thank you. #help,damaged_item
TKT000000095,"Hello, there is visible damage. The order value is about GBP 72.00. Please advise. ASAP",damaged_item
TKT000000096,"Support team, the box was crushed and the item is broken. The order value is about GBP 23.92. Please advise. ...",damaged_item
TKT000000097,Please help - the item arrived cracked. The order value is about GBP 192.01. Please get back to me. sent from mobile,damaged_item
TKT000000098,"Hello, there is visible damage. The order value is about GBP 59.43. Please get back to me. #help",damaged_item
TKT000000099,"Support team, the product is damaged. The order value is about GBP 89.41. Please advise. #help",damaged_item
TKT000000100,"Hi, the product is damaged. The order value is about GBP 54.52. Thanks.",damaged_item
TKT000000101,Please help - the box was crushed and the item is broken. The order value is about GBP 48.21. Thank you. ASAP,damaged_item
TKT000000102,Can someone check this? there is visible damage. The order value is about GBP 54.33. Please advise. !!!,damaged_item
TKT000000103,"Support team, there is visible damage. The order value is about GBP 290.87. Thanks. #help",damaged_item
TKT000000104,"Hello, the product is damaged. The order value is about GBP 97.74. Thank you. ...",damaged_item
TKT000000105,,damaged_item
TKT000000106,"Support team, the box was crushed and the item is broken. The order value is about GBP 60.42. I need this resolved soon. #help",damaged_item
TKT000000107,Please help - the box was crushed and the item is broken. The order value is about GBP 182.97. Please get back to me. !!!,damaged_item
TKT000000108,Please help - the box was crushed and the item is broken. The order value is about GBP 133.37. I need this resolved soon. pls,damaged_item
TKT000000109,"Hi, the item arrived cracked. The order value is about GBP 178.41. Can you confirm the next step? ASAP",damaged_item
TKT000000110,"Hello, the item arrived cracked. The order value is about GBP 51.72. Thank you. #help",damaged_item
TKT000000111,"hi, the product is damaged. the order value is about gbp 104.85. thanks. sent from mobile",damaged_item
TKT000000112,"Hi, the box was crushed and the item is broken. The order value is about GBP 197.95. Can you confirm the next step? thx",damaged_item
TKT000000113,can someone check this? the box was crushed and the item is broken. the order value is about gbp 78.40. can you confirm the next step? thx,damaged_item
TKT000000114,Please help - there is visible damage. The order value is about GBP 59.94. Thanks. sent from mobile,damaged_item
TKT000000115,"Hi, the product is damaged. The order value is about GBP 18.34. I need this resolved soon. thx",damaged_item
TKT000000116,"Hello, the box was crushed and the item is broken. The order value is about GBP 107.38. Thanks. !!!",damaged_item
TKT000000117,Can someone check this? there is visible damage. The order value is about GBP 28.80. Can you confirm the next step? !!!,damaged_item
TKT000000118,Please help - the product is damaged. The order value is about GBP 96.57. Please get back to me. !!!,damaged_item
TKT000000119,Please help - the box was crushed and the item is broken. The order value is about GBP 55.46. Thank you. ASAP,damaged_item
TKT000000120,"Support team, there is visible damage. The order value is about GBP 71.48. I need this resolved soon. ASAP",damaged_item
TKT000000121,Can someone check this? I received the wrong colour or model. The order value is about GBP 33.00. Thanks. pls,wrong_item
TKT000000122,Can someone check this? this is the incorrect item. The order value is about GBP 43.60. Thank you. pls,wrong_item
TKT000000123,"Hi, the item in the box is not what I ordered. The order value is about GBP 178.46. Can you confirm the next step? ...",wrong_item
TKT000000124,I need assistance because this is the incorrect item. The order value is about GBP 118.66. Please get back to me. #help,wrong_item
TKT000000125,"Hi, this is the incorrect item. The order value is about GBP 89.56. I need this resolved soon. !!!",wrong_item
TKT000000126,Can someone check this? the item in the box is not what I ordered. The order value is about GBP 42.22. Thanks. sent from mobile,wrong_item
TKT000000127,Please help - you sent a different product. The order value is about GBP 50.27. Please advise.,wrong_item
TKT000000128,Please help - you sent a different product. The order value is about GBP 153.36. Thank you. ASAP,wrong_item
TKT000000129,Can someone check this? I received the wrong colour or model. The order value is about GBP 88.79. Please advise. ...,wrong_item
TKT000000130,"HI, THE ITEM IN THE BOX IS NOT WHAT I ORDERED. THE ORDER VALUE IS ABOUT GBP 221.87. THANK YOU. ASAP",wrong_item
TKT000000131,Please help - this is the incorrect item. The order value is about GBP 99.29. I need this resolved soon.,wrong_item
TKT000000132,"Support team, the item in the box is not what I ordered. The order value is about GBP 640.74. Thank you. !!!",wrong_item
TKT000000133,Please help - this is the incorrect item. The order value is about GBP 119.35. Please advise. ...,wrong_item
TKT000000134,Can someone check this? you sent a different product. The order value is about GBP 48.20. Please advise. #help,wrong_item
TKT000000135,I need assistance because you sent a different product. The order value is about GBP 71.48. Thank you. thx,wrong_item
TKT000000136,"Support team, the item in the box is not what I ordered. The order value is about GBP 582.53. Thanks.",wrong_item
TKT000000137,"Support team, the item in the box is not what I ordered. The order value is about GBP 110.45. Thank you.",wrong_item
TKT000000138,Please help - the item in the box is not what I ordered. The order value is about GBP 26.51. I need this resolved soon. pls,wrong_item
TKT000000139,"Hello, I received the wrong colour or model. The order value is about GBP 47.46. Thank you. #help",wrong_item
TKT000000140,"Hello, the item in the box is not what I ordered. The order value is about GBP 302.87. Please get back to me. ASAP",wrong_item
TKT000000141,"Hi, the item in the box is not what I ordered. The order value is about GBP 45.39. Thanks. !!!",wrong_item
TKT000000142,Can someone check this? you sent a different product. The order value is about GBP 297.85. Can you confirm the next step? ASAP,wrong_item
TKT000000143,"Hi, I received the wrong colour or model. The order value is about GBP 67.07. I need this resolved soon. pls",wrong_item
TKT000000144,"Hi, you sent a different product. The order value is about GBP 188.29. I need this resolved soon.",wrong_item
TKT000000145,"Hello, the item in the box is not what I ordered. The order value is about GBP 46.24. I need this resolved soon. thx",wrong_item
TKT000000146,"Hello, you sent a different product. The order value is about GBP 297.03. Thanks. !!!",wrong_item
TKT000000147,Can someone check this? the item in the box is not what I ordered. The order value is about GBP 169.17. Please advise. #help,wrong_item
TKT000000148,"Support team, the item in the box is not what I ordered. The order value is about GBP 74.66. Please get back to me.",wrong_item
TKT000000149,Please help - this is the incorrect item. The order value is about GBP 18.86. Thank you. !!!,wrong_item
TKT000000150,I need assistance because this is the incorrect item. The order value is about GBP 58.02. Please advise. #help,wrong_item
TKT000000151,"Support team, this is the incorrect item. The order value is about GBP 313.88. I need this resolved soon. ...",wrong_item
TKT000000152,I need assistance because the item in the box is not what I ordered. The order value is about GBP 169.59. Can you confirm the next step? pls,wrong_item
TKT000000153,Please help - this is the incorrect item. The order value is about GBP 83.70. Please advise. ...,wrong_item
TKT000000154,I need assistance because you sent a different product. The order value is about GBP 199.39. Can you confirm the next step? ...,wrong_item
TKT000000155,"Support team, you sent a different product. The order value is about GBP 25.39. I need this resolved soon. thx",wrong_item
TKT000000156,Can someone check this? you sent a different product. The order value is about GBP 55.31. Please advise. sent from mobile,wrong_item
TKT000000157,"Hi, you sent a different product. The order value is about GBP 39.94. Thanks.",wrong_item
TKT000000158,"Hello, the item in the box is not what I ordered. The order value is about GBP 40.74. Can you confirm the next step?",wrong_item
TKT000000159,Please help - I received the wrong colour or model. The order value is about GBP 32.51. Thank you. ...,wrong_item
TKT000000160,Can someone check this? the item in the box is not what I ordered. The order value is about GBP 26.26. Can you confirm the next step? !!!,wrong_item
TKT000000161,I need assistance because this is the incorrect item. The order value is about GBP 28.36. Please get back to me. ASAP,wrong_item
TKT000000162,Please help - the item in the box is not what I ordered. The order value is about GBP 169.13. Please advise. ...,wrong_item
TKT000000163,Please help - you sent a different product. The order value is about GBP 70.83. I need this resolved soon. pls,wrong_item
TKT000000164,"Hi, I received the wrong colour or model. The order value is about GBP 255.83. Thanks. pls",wrong_item
TKT000000165,Can someone check this? you sent a different product. The order value is about GBP 196.97. Thank you. ASAP,wrong_item
TKT000000166,"Hello, you sent a different product. The order value is about GBP 233.86. Please get back to me.",wrong_item
TKT000000167,I need assistance because the item in the box is not what I ordered. The order value is about GBP 94.79. Please get back to me. ASAP,wrong_item
TKT000000168,I need assistance because I received the wrong colour or model. The order value is about GBP 402.54. Thank you. #help,wrong_item
TKT000000169,Please help - you sent a different product. The order value is about GBP 5.43. Thanks. #help,wrong_item
TKT000000170,"Hi, I received the wrong colour or model. The order value is about GBP 141.05. Please get back to me. pls",wrong_item
TKT000000171,"Hello, you sent a different product. The order value is about GBP 97.43. Can you confirm the next step? ...",wrong_item
TKT000000172,"Hello, the item in the box is not what I ordered. The order value is about GBP 50.51. Please get back to me.",wrong_item
TKT000000173,"Hi, this is the incorrect item. The order value is about GBP 159.41. Thanks. thx",wrong_item
TKT000000174,Can someone check this? I received the wrong colour or model. The order value is about GBP 133.15. Please get back to me. thx,wrong_item
TKT000000175,"Hi, this is the incorrect item. The order value is about GBP 44.48. Can you confirm the next step? ...",wrong_item
TKT000000176,"Hello, I received the wrong colour or model. The order value is about GBP 143.20. Can you confirm the next step? ASAP",wrong_item
TKT000000177,I need assistance because the item in the box is not what I ordered. The order value is about GBP 74.03. Thank you. !!!,wrong_item
TKT000000178,Can someone check this? I received the wrong colour or model. The order value is about GBP 102.80. Please advise. sent from mobile,wrong_item
TKT000000179,"hi, you sent a different product. the order value is about gbp 69.89. thank you.",wrong_item
TKT000000180,"Hi, this is the incorrect item. The order value is about GBP 116.63. Please get back to me. !!!",wrong_item
TKT000000181,Please help - you sent a different product. The order value is about GBP 190.17. Thanks. pls,wrong_item
TKT000000182,Please help - this is the incorrect item. The order value is about GBP 516.27. Can you confirm the next step? ASAP,wrong_item
TKT000000183,Can someone check this? I received the wrong colour or model. The order value is about GBP 51.50. Thank you.,wrong_item
TKT000000184,"Support team, the item in the box is not what I ordered. The order value is about GBP 1021.21. Please advise.",wrong_item
TKT000000185,"Hi, you sent a different product. The order value is about GBP 30.58. I need this resolved soon. sent from mobile",wrong_item
TKT000000186,Can someone check this? you sent a different product. The order value is about GBP 111.54. Thank you. !!!,wrong_item
TKT000000187,PLEASE HELP - YOU SENT A DIFFERENT PRODUCT. THE ORDER VALUE IS ABOUT GBP 262.48. THANKS. #HELP,wrong_item
TKT000000188,"Support team, the item in the box is not what I ordered. The order value is about GBP 66.90. Thanks. #help",wrong_item
TKT000000189,Can someone check this? this is the incorrect item. The order value is about GBP 413.19. I need this resolved soon. thx,wrong_item
TKT000000190,"Support team, I received the wrong colour or model. The order value is about GBP 81.59. Can you confirm the next step? sent from mobile",wrong_item
TKT000000191,"Support team, I received the wrong colour or model. The order value is about GBP 48.53. Please advise. ...",wrong_item
TKT000000192,Can someone check this? this is the incorrect item. The order value is about GBP 122.95. Thank you. sent from mobile,wrong_item
TKT000000193,Please help - you sent a different product. The order value is about GBP 40.49. Please advise. ...,wrong_item
TKT000000194,Can someone check this? you sent a different product. The order value is about GBP 79.06. Please advise. pls,wrong_item
TKT000000195,"Hi, I received the wrong colour or model. The order value is about GBP 248.39. Thank you. ...",wrong_item
TKT000000196,Can someone check this? you sent a different product. The order value is about GBP 92.35. Please get back to me.,wrong_item
TKT000000197,I need assistance because you sent a different product. The order value is about GBP 109.61. I need this resolved soon. ASAP,wrong_item
TKT000000198,"Hi, I received the wrong colour or model. The order value is about GBP 162.51. Please get back to me. ...",wrong_item
TKT000000199,I need assistance because I received the wrong colour or model. The order value is about GBP 346.79. Thanks. pls,wrong_item
TKT000000200,Please help - this is the incorrect item. The order value is about GBP 63.22. Thanks. #help,wrong_item
TKT000000201,"Support team, the item in the box is not what I ordered. The order value is about GBP 11.41. Please get back to me. #help",wrong_item
TKT000000202,"Hi, you sent a different product. The order value is about GBP 38.51. Can you confirm the next step? ...",wrong_item
TKT000000203,"Support team, you sent a different product. The order value is about GBP 136.53. Please advise. ASAP",wrong_item
TKT000000204,"Support team, I received the wrong colour or model. The order value is about GBP 123.65. Can you confirm the next step? ...",wrong_item
TKT000000205,Please help - you sent a different product. The order value is about GBP 68.72. Please advise. ...,wrong_item
TKT000000206,Please help - this is the incorrect item. The order value is about GBP 279.83. Can you confirm the next step? ...,wrong_item
TKT000000207,I need assistance because you sent a different product. The order value is about GBP 127.71. Please get back to me. !!!,wrong_item
TKT000000208,"Hi, this is the incorrect item. The order value is about GBP 170.75. Please get back to me.",wrong_item
TKT000000209,Can someone check this? the item in the box is not what I ordered. The order value is about GBP 319.72. I need this resolved soon. ASAP,wrong_item
TKT000000210,Can someone check this? this is the incorrect item. The order value is about GBP 36.17. Please get back to me. sent from mobile,wrong_item
TKT000000211,Please help - the item in the box is not what I ordered. The order value is about GBP 108.65. Thanks. sent from mobile,wrong_item
TKT000000212,"Support team, the item in the box is not what I ordered. The order value is about GBP 104.76. Thanks. sent from mobile",wrong_item
TKT000000213,"Hello, this is the incorrect item. The order value is about GBP 65.99. Can you confirm the next step?",wrong_item
TKT000000214,I need assistance because the item in the box is not what I ordered. The order value is about GBP 39.71. Thanks. #help,wrong_item
TKT000000215,Please help - this is the incorrect item. The order value is about GBP 96.18. Please get back to me. #help,wrong_item
TKT000000216,Can someone check this? the item in the box is not what I ordered. The order value is about GBP 46.03. I need this resolved soon. ...,wrong_item
TKT000000217,"Hello, the item in the box is not what I ordered. The order value is about GBP 84.05. Thank you. #help",wrong_item
TKT000000218,Please help - the item in the box is not what I ordered. The order value is about GBP 63.19. Can you confirm the next step? #help,wrong_item
TKT000000219,"Hi, the item in the box is not what I ordered. The order value is about GBP 351.28. Thank you. #help",wrong_item
TKT000000220,I need assistance because I received the wrong colour or model. The order value is about GBP 43.90. Can you confirm the next step? pls,wrong_item
TKT000000221,"Hi, I received the wrong colour or model. The order value is about GBP 35.48. Thanks. !!!",wrong_item
TKT000000222,"Support team, the item in the box is not what I ordered. The order value is about GBP 557.66. Thank you. ...",wrong_item
TKT000000223,Please help - you sent a different product. The order value is about GBP 1084.73. I need this resolved soon. ...,wrong_item
TKT000000224,CAN SOMEONE CHECK THIS? I RECEIVED THE WRONG COLOUR OR MODEL. THE ORDER VALUE IS ABOUT GBP 154.41. I NEED THIS RESOLVED SOON. ...,wrong_item
TKT000000225,"Hi, I received the wrong colour or model. The order value is about GBP 27.30. Please advise. ASAP",wrong_item
TKT000000226,"Hi, I received the wrong colour or model. The order value is about GBP 210.88. I need this resolved soon. #help",wrong_item
TKT000000227,Please help - I received the wrong colour or model. The order value is about GBP 151.24. Thanks. thx,wrong_item
TKT000000228,Can someone check this? this is the incorrect item. The order value is about GBP 152.12. Please advise. ASAP,wrong_item
TKT000000229,"Hi, I received the wrong colour or model. The order value is about GBP 40.87. Can you confirm the next step? sent from mobile",wrong_item
TKT000000230,"Support team, I received the wrong colour or model. The order value is about GBP 15.96. Please advise. sent from mobile",wrong_item
TKT000000231,Can someone check this? you sent a different product. The order value is about GBP 207.42. Please get back to me. !!!,wrong_item
TKT000000232,,wrong_item
TKT000000233,"Hello, you sent a different product. The order value is about GBP 48.32. Please get back to me. !!!",wrong_item
TKT000000234,"Support team, I received the wrong colour or model. The order value is about GBP 108.97. Thank you. ...",wrong_item
TKT000000235,"Hi, you sent a different product. The order value is about GBP 37.58. I need this resolved soon. thx",wrong_item
TKT000000236,Please help - you sent a different product. The order value is about GBP 46.22. I need this resolved soon. pls,wrong_item
TKT000000237,,wrong_item
TKT000000238,I need assistance because this is the incorrect item. The order value is about GBP 89.88. Thank you. !!!,wrong_item
TKT000000239,Please help - this is the incorrect item. The order value is about GBP 94.97. Can you confirm the next step? ASAP,wrong_item
TKT000000240,Can someone check this? the item in the box is not what I ordered. The order value is about GBP 109.51. Can you confirm the next step? pls,wrong_item
TKT000000241,Can someone check this? the product is damaged. The order value is about GBP 190.92. Can you confirm the next step? sent from mobile,damaged_item
TKT000000242,"HI, THE ITEM ARRIVED CRACKED. THE ORDER VALUE IS ABOUT GBP 86.10. CAN YOU CONFIRM THE NEXT STEP? #HELP",damaged_item
TKT000000243,Please help - the item arrived cracked. The order value is about GBP 32.67. I need this resolved soon. pls,damaged_item
TKT000000244,Please help - there is visible damage. The order value is about GBP 425.60. Thanks. #help,damaged_item
TKT000000245,"Hi, the item arrived cracked. The order value is about GBP 69.20. Thanks. ...",damaged_item
TKT000000246,Can someone check this? there is visible damage. The order value is about GBP 108.09. Thank you. thx,damaged_item
TKT000000247,Please help - the product is damaged. The order value is about GBP 89.48. Please advise. !!!,damaged_item
TKT000000248,"Support team, the item arrived cracked. The order value is about GBP 114.22. Thanks. #help",damaged_item
TKT000000249,"Hi, the item arrived cracked. The order value is about GBP 230.82. Thank you. pls",damaged_item
TKT000000250,"Hello, the box was crushed and the item is broken. The order value is about GBP 61.54. Thanks.",damaged_item
